variant,qid,query_class,difficulty,status,den_acc,exec_ok,join_hall,ir_attempts,latency_s
M-full,Q003,count_filter,easy,accept,1,1,0,1,2.714
M-full,Q004,count_filter,easy,accept,1,1,0,1,2.203
M-full,Q005,count_filter,easy,accept,1,1,0,1,2.052
M-full,Q007,group_topk,easy,accept,1,1,0,1,2.626
M-full,Q008,group_topk,easy,accept,1,1,0,1,2.219
M-full,Q010,group_topk,easy,accept,1,1,0,1,2.459
M-full,Q011,group_topk,easy,accept,1,1,0,1,2.152
M-full,Q015,path_relation,medium,accept,1,1,0,1,2.078
M-full,Q016,path_relation,medium,accept,1,1,0,1,1.853
M-full,Q017,path_relation,medium,accept,1,1,0,1,2.024
M-full,Q019,temporal_trend,medium,accept,1,1,0,1,2.343
M-full,Q020,temporal_trend,medium,accept,1,1,0,1,2.92
M-full,Q022,temporal_trend,medium,accept,1,1,0,1,2.954
M-full,Q023,temporal_trend,medium,accept,1,1,0,1,2.999
M-full,Q024,temporal_trend,medium,accept,1,1,0,1,3.029
M-full,Q025,delay_analysis,hard,accept,1,1,0,1,2.267
M-full,Q027,delay_analysis,hard,accept,1,1,0,1,2.491
M-full,Q028,anomaly_filter,hard,accept,1,1,0,1,2.368
M-full,Q029,anomaly_filter,hard,accept,1,1,0,1,2.601
M-full,Q031,count_filter,easy,accept,1,1,0,1,1.989
M-full,Q032,count_filter,easy,accept,1,1,0,1,1.924
M-full,Q033,count_filter,easy,accept,0,1,0,2,4.385
M-full,Q034,count_filter,easy,accept,1,1,0,1,2.09
M-full,Q036,temporal_trend,medium,accept,1,1,0,1,2.501
M-full,Q037,temporal_trend,medium,accept,1,1,0,1,2.485
M-full,Q038,count_filter,easy,accept,0,1,0,2,4.807
M-full,Q039,path_relation,medium,accept,0,1,0,1,2.052
M-full,Q041,temporal_trend,medium,accept,1,1,0,1,2.455
M-full,Q042,delay_analysis,hard,accept,1,1,0,1,2.57
M-full,Q045,count_filter,easy,accept,1,1,0,1,2.253
M-full,Q046,path_relation,medium,accept,1,1,0,1,1.388
M-full,Q047,path_relation,hard,accept,0,1,0,1,2.78
M-full,Q048,path_relation,medium,accept,1,1,0,1,3.085
M-full,Q049,count_filter,easy,accept,0,1,0,2,4.537
M-full,Q051,temporal_trend,medium,accept,1,1,0,1,2.793
M-full,Q052,temporal_trend,medium,accept,0,1,0,2,5.145
M-full,Q053,temporal_trend,medium,accept,1,1,0,1,3.173
M-full,Q054,temporal_trend,medium,accept,1,1,0,1,2.99
M-full,Q057,group_topk,easy,accept,1,1,0,1,2.184
M-full,Q058,group_topk,medium,reject,0,0,0,3,8.494
M-full,Q059,group_topk,medium,accept,0,1,0,2,5.661
M-full,Q062,path_relation,easy,accept,1,1,0,1,2.036
M-full,Q063,path_relation,medium,accept,1,1,0,1,1.41
M-full,Q065,delay_analysis,hard,accept,1,1,0,1,2.325
M-full,Q066,delay_analysis,hard,accept,0,1,0,2,4.956
M-full,Q067,delay_analysis,hard,accept,1,1,0,1,2.242
M-full,Q068,delay_analysis,hard,accept,0,1,0,1,2.592
M-full,Q069,delay_analysis,hard,accept,0,1,0,2,4.685
M-full,Q070,delay_analysis,hard,reject,0,0,0,3,7.115
M-full,Q075,anomaly_filter,hard,accept,0,1,0,2,4.603
M-full,Q076,anomaly_filter,hard,accept,0,1,0,1,3.083
M-full,Q077,anomaly_filter,hard,accept,0,1,0,1,2.394
M-full,Q078,anomaly_filter,hard,accept,0,1,0,2,5.167
M-full,Q079,anomaly_filter,hard,accept,1,1,0,1,2.313
M-full,Q080,anomaly_filter,hard,accept,1,1,0,1,2.699
M-full,Q085,window_agg,medium,accept,1,1,0,1,3.095
M-full,Q086,window_agg,medium,exec_error,0,0,0,1,2.979
M-full,Q087,window_agg,medium,accept,0,1,0,1,2.274
M-full,Q088,window_agg,medium,reject,0,0,0,1,2.66
M-full,Q089,window_agg,medium,reject,0,0,0,1,3.054
M-full,Q090,window_agg,hard,reject,0,0,0,1,4.354
M-full,Q091,window_agg,hard,accept,1,1,0,1,3.076
M-full,Q097,nested_agg,hard,accept,1,1,0,1,2.297
M-full,Q098,nested_agg,hard,accept,1,1,0,1,2.225
M-full,Q099,nested_agg,hard,reject,0,0,0,1,3.158
M-full,Q100,nested_agg,hard,exec_error,0,0,0,1,3.032
M-full,Q101,nested_agg,hard,accept,1,1,0,1,2.536
M-full,Q102,nested_agg,hard,accept,1,1,0,1,2.77
M-full,Q109,conformance,medium,accept,1,1,0,1,1.494
M-full,Q110,conformance,medium,accept,0,1,0,1,1.586
M-full,Q111,conformance,medium,accept,1,1,0,1,1.436
M-full,Q112,conformance,hard,accept,0,1,0,1,1.405
M-full,Q113,conformance,hard,exec_error,0,0,0,1,2.21
M-full,Q114,conformance,hard,reject,0,0,0,3,9.619
M-noretriever,Q003,count_filter,easy,accept,1,1,0,1,1.634
M-noretriever,Q004,count_filter,easy,accept,1,1,0,1,2.101
M-noretriever,Q005,count_filter,easy,accept,1,1,0,1,1.894
M-noretriever,Q007,group_topk,easy,accept,1,1,0,1,2.204
M-noretriever,Q008,group_topk,easy,accept,1,1,0,1,2.217
M-noretriever,Q010,group_topk,easy,accept,1,1,0,1,2.076
M-noretriever,Q011,group_topk,easy,accept,1,1,0,1,2.041
M-noretriever,Q015,path_relation,medium,accept,1,1,0,1,1.995
M-noretriever,Q016,path_relation,medium,accept,1,1,0,1,1.854
M-noretriever,Q017,path_relation,medium,accept,1,1,0,1,1.933
M-noretriever,Q019,temporal_trend,medium,accept,1,1,0,1,2.443
M-noretriever,Q020,temporal_trend,medium,accept,1,1,0,1,2.365
M-noretriever,Q022,temporal_trend,medium,accept,1,1,0,1,2.863
M-noretriever,Q023,temporal_trend,medium,accept,1,1,0,1,2.75
M-noretriever,Q024,temporal_trend,medium,accept,1,1,0,1,2.809
