Method,Split,query_class,n,DenAcc
B1 Zero-shot,dev,anomaly_filter,8,0.375
B1 Zero-shot,dev,conformance,6,0.6666666666666666
B1 Zero-shot,dev,count_filter,10,0.7
B1 Zero-shot,dev,delay_analysis,9,0.0
B1 Zero-shot,dev,group_topk,7,0.7142857142857143
B1 Zero-shot,dev,nested_agg,6,0.3333333333333333
B1 Zero-shot,dev,path_relation,9,0.5555555555555556
B1 Zero-shot,dev,temporal_trend,12,0.3333333333333333
B1 Zero-shot,dev,window_agg,7,0.14285714285714285
B1 Zero-shot,test,anomaly_filter,6,0.0
B1 Zero-shot,test,conformance,6,0.6666666666666666
B1 Zero-shot,test,count_filter,5,0.6
B1 Zero-shot,test,delay_analysis,5,0.0
B1 Zero-shot,test,group_topk,5,0.6
B1 Zero-shot,test,nested_agg,6,0.3333333333333333
B1 Zero-shot,test,path_relation,5,0.8
B1 Zero-shot,test,temporal_trend,3,0.3333333333333333
B1 Zero-shot,test,window_agg,5,0.4
B2 Few-shot,dev,anomaly_filter,8,0.25
B2 Few-shot,dev,conformance,6,0.16666666666666666
B2 Few-shot,dev,count_filter,10,0.6
B2 Few-shot,dev,delay_analysis,9,0.1111111111111111
B2 Few-shot,dev,group_topk,7,0.2857142857142857
B2 Few-shot,dev,nested_agg,6,0.0
B2 Few-shot,dev,path_relation,9,0.1111111111111111
B2 Few-shot,dev,temporal_trend,12,0.25
B2 Few-shot,dev,window_agg,7,0.14285714285714285
B2 Few-shot,test,anomaly_filter,6,0.0
B2 Few-shot,test,conformance,6,0.3333333333333333
B2 Few-shot,test,count_filter,5,0.6
B2 Few-shot,test,delay_analysis,5,0.0
B2 Few-shot,test,group_topk,5,0.2
B2 Few-shot,test,nested_agg,6,0.3333333333333333
B2 Few-shot,test,path_relation,5,0.2
B2 Few-shot,test,temporal_trend,3,0.3333333333333333
B2 Few-shot,test,window_agg,5,0.0
B3 DIN-SQL,dev,anomaly_filter,8,0.375
B3 DIN-SQL,dev,conformance,6,0.3333333333333333
B3 DIN-SQL,dev,count_filter,10,0.5
B3 DIN-SQL,dev,delay_analysis,9,0.2222222222222222
B3 DIN-SQL,dev,group_topk,7,0.42857142857142855
B3 DIN-SQL,dev,nested_agg,6,0.16666666666666666
B3 DIN-SQL,dev,path_relation,9,0.2222222222222222
B3 DIN-SQL,dev,temporal_trend,12,0.8333333333333334
B3 DIN-SQL,dev,window_agg,7,0.2857142857142857
B3 DIN-SQL,test,anomaly_filter,6,0.16666666666666666
B3 DIN-SQL,test,conformance,6,0.8333333333333334
B3 DIN-SQL,test,count_filter,5,0.8
B3 DIN-SQL,test,delay_analysis,5,0.0
B3 DIN-SQL,test,group_topk,5,0.6
B3 DIN-SQL,test,nested_agg,6,0.16666666666666666
B3 DIN-SQL,test,path_relation,5,0.6
B3 DIN-SQL,test,temporal_trend,3,0.6666666666666666
B3 DIN-SQL,test,window_agg,5,0.4
Method M,dev,anomaly_filter,8,0.5
Method M,dev,conformance,6,0.3333333333333333
Method M,dev,count_filter,10,0.7
Method M,dev,delay_analysis,9,0.5555555555555556
Method M,dev,group_topk,7,0.7142857142857143
Method M,dev,nested_agg,6,0.6666666666666666
Method M,dev,path_relation,9,0.8888888888888888
Method M,dev,temporal_trend,12,0.9166666666666666
Method M,dev,window_agg,7,0.2857142857142857
Method M,test,anomaly_filter,6,0.16666666666666666
Method M,test,conformance,6,0.5
Method M,test,count_filter,5,0.6
Method M,test,delay_analysis,5,0.4
Method M,test,group_topk,5,0.6
Method M,test,nested_agg,6,0.8333333333333334
Method M,test,path_relation,5,0.8
Method M,test,temporal_trend,3,0.6666666666666666
Method M,test,window_agg,5,0.0
